company,composite_score,bias_magnitude,peak_strength,consistency_pct,temporal_deviation,outlier_freq_pct,n_quarters,top_quarter_1,top_score_1,top_quarter_2,top_score_2,top_quarter_3,top_score_3,config_start,config_end,config_bias_type,config_overlap_pct,rank
VOW3.DE,90.51998798737854,0.07746991134092718,0.08901658005368422,100.0,6404.3279347044345,16.79936305732484,21,2013-Q4,0.089,2012-Q4,0.073,2015-Q3,0.070,Unknown,Unknown,Unknown,0.0,1
0LIU.L,88.86912662611921,0.06577130917150521,0.07513521257090909,100.0,114225.01684931591,23.66357804704205,28,2020-Q1,0.075,2020-Q3,0.068,2020-Q2,0.054,Unknown,Unknown,Unknown,0.0,2
NKLA,86.95246052447492,0.0578284688126936,0.06560465602984128,100.0,116720.65860613874,20.454545454545457,15,2023-Q3,0.066,2023-Q1,0.056,2022-Q4,0.052,Unknown,Unknown,Unknown,0.0,3
0IJN.L,80.84895026971071,0.02717885806499254,0.02984455829811321,100.0,17880.921671648324,20.145631067961165,19,2023-Q3,0.030,2021-Q1,0.028,2024-Q3,0.024,Unknown,Unknown,Unknown,0.0,4
BOE.L,78.34357531064528,0.042416372359486,0.04605259264460432,100.0,1.3420760122987994,15.560495395363608,28,2019-Q2,0.046,2019-Q1,0.041,2020-Q1,0.040,Unknown,Unknown,Unknown,0.0,5
OTRK,77.64431579535045,0.019247688086024835,0.02813753957894737,89.47368421052632,16178.909836611725,18.548387096774192,19,2024-Q1,0.028,2023-Q4,0.020,2024-Q2,0.010,Unknown,Unknown,Unknown,0.0,6
TL0.DE,74.79619236700316,0.0007924308250524003,0.002863494954929578,92.85714285714286,16314.218200270716,22.99794661190965,28,2020-Q2,0.003,2021-Q1,0.001,2020-Q4,-0.002,Unknown,Unknown,Unknown,0.0,7
RNO.PA,74.52809089058997,0.026562621452626157,0.029691550651449274,100.0,1.2150837480869243,16.552901023890783,18,2019-Q4,0.030,2013-Q4,0.027,2018-Q4,0.023,Unknown,Unknown,Unknown,0.0,8
TWTR,51.41022527323015,-0.05323739239016897,0.0045652734,6.0606060606060606,5270.000794957052,15.583668775158138,33,2017-Q3,0.005,2016-Q2,-0.077,2017-Q2,-0.087,Unknown,Unknown,Unknown,0.0,9
BHC.TO,45.257326610949946,-0.07085060944657821,-0.06682628963503547,14.285714285714285,29497.02372994356,15.063334474495035,28,2017-Q3,-0.067,2017-Q2,-0.071,2016-Q1,-0.074,Unknown,Unknown,Unknown,0.0,10
0HMI.L,44.84551823322119,-0.07778203599598639,-0.05294202857,9.523809523809524,109263.49304090434,15.809051456912584,21,2022-Q1,-0.053,2022-Q3,-0.073,2022-Q2,-0.107,Unknown,Unknown,Unknown,0.0,11
INTC,41.681643451441985,-0.08760588070717128,-0.05823524446818182,1.9230769230769231,7820.536724142128,13.671736823487796,52,2020-Q4,-0.058,2021-Q4,-0.102,2024-Q3,-0.103,Unknown,Unknown,Unknown,0.0,12
0R0P.L,40.87260221946481,-0.08316666874039293,-0.07738879336923077,1.9230769230769231,58638.58002140254,17.156105100463677,52,2024-Q2,-0.077,2024-Q4,-0.085,2025-Q1,-0.087,Unknown,Unknown,Unknown,0.0,13
PTON,38.55381997528253,-0.09719009684777676,-0.08524941824756757,0.0,1033574.9586418336,18.482490272373543,19,2024-Q3,-0.085,2023-Q1,-0.100,2022-Q3,-0.106,Unknown,Unknown,Unknown,0.0,14
GRPN,37.18878379738778,-0.10194818579048771,-0.09182517800399999,0.0,9674.685863375193,15.116845180136322,49,2023-Q1,-0.092,2020-Q2,-0.102,2022-Q4,-0.112,Unknown,Unknown,Unknown,0.0,15
SNAP,36.788556249466716,-0.1035802626128395,-0.0901709149372549,0.0,22685.669172822538,11.369253583786456,26,2022-Q3,-0.090,2019-Q3,-0.110,2022-Q1,-0.110,Unknown,Unknown,Unknown,0.0,16
NWT.DE,36.559252118053706,-0.10360956900776203,-0.09828012406344086,0.0,4005.9479872353563,15.894236482471777,28,2016-Q3,-0.098,2013-Q3,-0.106,2014-Q2,-0.107,Unknown,Unknown,Unknown,0.0,17
0II3.L,34.516819634993425,-0.11601739039154517,-0.1050525723808,0.0,151551.3013809368,13.604007382019509,28,2014-Q2,-0.105,2015-Q2,-0.121,2015-Q3,-0.122,Unknown,Unknown,Unknown,0.0,18
KBNT,30.376466607401316,-0.14139473257719506,-0.13054630665671643,0.0,26709.037101009,19.03584672435105,13,2021-Q4,-0.131,2021-Q1,-0.146,2023-Q1,-0.147,Unknown,Unknown,Unknown,0.0,19
HOOD,25.483978091727504,-0.1298397933149393,-0.12235334401923076,0.0,1.1535706131233439,15.12667660208644,15,2022-Q4,-0.122,2022-Q2,-0.132,2024-Q4,-0.135,Unknown,Unknown,Unknown,0.0,20
0JRL.L,20.698224729668073,-0.15542478728565542,-0.14916589202442748,0.0,1.156986574932371,15.160955347871235,11,2022-Q4,-0.149,2024-Q3,-0.155,2023-Q4,-0.162,Unknown,Unknown,Unknown,0.0,21
